Zip Code,City,City-Zip,County
97022,Dover,Dover-97022,Clackamas
97205,Downtown,Downtown-97205,Multnomah
97435,Drain,Drain-97435,Douglas
97484,Drew,Drew-97484,Douglas
97904,Drewsey,Drewsey-97904,Harney
97021,Dufur,Dufur-97021,Wasco
97115,Dundee,Dundee-97115,Yamhill
97439,Dunes City,Dunes City-97439,Lane
97219,Dunthorpe,Dunthorpe-97219,Multnomah
97062,Durham,Durham-97062,Washington
97224,Durham,Durham-97224,Washington
97905,Durkee,Durkee-97905,Baker
97022,Eagle Creek,Eagle Creek-97022,Clackamas
97524,Eagle Point,Eagle Point-97524,Jackson
97211,East Columbia,East Columbia-97211,Multnomah
97202,Eastmoreland,Eastmoreland-97202,Multnomah
97420,Eastside,Eastside-97420,Coos
97038,Eby,Eby-97038,Clackamas
97826,Echo,Echo-97826,Umatilla
97045,Echo Dell,Echo Dell-97045,Clackamas
97343,Eddyville,Eddyville-97343,Lincoln
97827,Elgin,Elgin-97827,Union
97212,Eliot,Eliot-97212,Multnomah
97227,Eliot,Eliot-97227,Multnomah
97436,Elkton,Elkton-97436,Douglas
97437,Elmira,Elmira-97437,Lane
97006,Elmonica,Elmonica-97006,Washington
97420,Empire,Empire-97420,Coos
97828,Enterprise,Enterprise-97828,Wallowa
97023,Estacada,Estacada-97023,Clackamas
97401,Eugene,Eugene-97401,Lane
97402,Eugene,Eugene-97402,Lane
97403,Eugene,Eugene-97403,Lane
97404,Eugene,Eugene-97404,Lane
97405,Eugene,Eugene-97405,Lane
97408,Eugene,Eugene-97408,Lane
97412,Eugene,Eugene-97412,Lane
97440,Eugene,Eugene-97440,Lane
97455,Eugene,Eugene-97455,Lane
97222,Fair Oaks,Fair Oaks-97222,Clackamas
97267,Fair Oaks,Fair Oaks-97267,Clackamas
97024,Fairview,Fairview-97024,Multnomah
97438,Fall Creek,Fall Creek-97438,Lane
97344,Falls City,Falls City-97344,Polk
97004,Falls View,Falls View-97004,Clackamas
97219,Far Southwest,Far Southwest-97219,Multnomah
97007,Farmington,Farmington-97007,Washington
97123,Farmington,Farmington-97123,Washington
97710,Fields,Fields-97710,Harney
97488,Finn Rock,Finn Rock-97488,Lane
97045,Fir Grove,Fir Grove-97045,Clackamas
97055,Firwood,Firwood-97055,Clackamas
97045,Fischers Mill,Fischers Mill-97045,Clackamas
97004,Fishers Corner,Fishers Corner-97004,Clackamas
97439,Florence,Florence-97439,Lane
97231,Folkenberg,Folkenberg-97231,Multnomah
97116,Forest Grove,Forest Grove-97116,Washington
97229,Forest Heights,Forest Heights-97229,Washington
97626,Fort Klamath,Fort Klamath-97626,Klamath
97735,Fort Rock,Fort Rock-97735,Lake
97830,Fossil,Fossil-97830,Wheeler
97345,Foster,Foster-97345,Linn
97206,Foster-Powell,Foster-Powell-97206,Multnomah
97045,Four Corners,Four Corners-97045,Clackamas
97856,Fox,Fox-97856,Grant
97736,Frenchglen,Frenchglen-97736,Harney
97021,Friend,Friend-97021,Wasco
97117,Gales Creek,Gales Creek-97117,Washington
97223,Garden Home,Garden Home-97223,Washington
97225,Garden Home,Garden Home-97225,Washington
97441,Gardiner,Gardiner-97441,Douglas
97023,Garfield,Garfield-97023,Clackamas
97118,Garibaldi,Garibaldi-97118,Tillamook
97119,Gaston,Gaston-97119,Washington
97346,Gates,Gates-97346,Marion
97458,Gaylord,Gaylord-97458,Coos
97138,Gearhart,Gearhart-97138,Clatsop
97026,Gervais,Gervais-97026,Marion
97236,Gilbert,Gilbert-97236,Multnomah
97737,Gilchrist,Gilchrist-97737,Klamath
97027,Gladstone,Gladstone-97027,Clackamas
97027,Glen Echo,Glen Echo-97027,Clackamas
97267,Glen Echo,Glen Echo-97267,Clackamas
97439,Glenada,Glenada-97439,Lane
97133,Glencoe,Glencoe-97133,Washington
97442,Glendale,Glendale-97442,Douglas
97388,Gleneden Beach,Gleneden Beach-97388,Lincoln
97233,Glenfair,Glenfair-97233,Multnomah
97034,Glenmorrie,Glenmorrie-97034,Clackamas
97116,Glenwood,Glenwood-97116,Washington
97443,Glide,Glide-97443,Douglas
97444,Gold Beach,Gold Beach-97444,Curry
97525,Gold Hill,Gold Hill-97525,Jackson
